GEOID,Total population,White,Black,Asian,Hispanic
36081035100,3653,364,287,641,2346
36081035200,2949,15,2352,71,81
36081035300,2224,126,173,154,1603
36081035800,4887,53,4360,40,254
36081036100,2141,43,499,431,1151
36081036300,2003,56,420,190,1277
36081036500,2697,43,291,282,2045
36081036600,2878,2,2352,94,381
36081036700,2157,93,885,78,1038
36081036800,2692,17,2302,0,204
36081037300,2293,91,162,349,1604
36081037501,1600,32,0,210,1358
36081037502,2710,70,458,121,2061
36081037600,6794,44,5974,117,251
36081037700,4141,32,322,165,3620
36081037900,7012,67,174,243,6507
36081038400,2490,7,2397,0,74
36081039400,3180,9,2516,68,300
36081039800,1792,20,1609,57,106
36081039901,2560,28,0,235,2250
36081039902,1700,196,246,164,1077
36081040000,1704,9,1463,0,138
36081040101,3159,22,36,500,2601
36081040102,5172,37,77,857,4201
36081040200,1706,19,1278,80,86
36081040301,3141,26,0,626,2489
36081040302,4401,45,0,510,3846
36081040400,4343,114,3245,382,471
36081040501,1070,0,0,43,1027
36081040502,2301,78,24,296,1894
36081040701,3881,25,0,244,3575
36081040702,4793,26,174,455,4107
36081040901,2179,9,0,290,1880
36081040902,3640,0,76,0,3523
36081041100,4376,29,0,536,3786
36081041300,5070,76,34,670,4290
36081041400,4882,146,3745,413,272
36081041500,4787,283,23,373,4108
36081042700,4859,180,209,328,4142
36081043701,3229,429,203,166,2275
36081043702,8641,1110,213,1398,5904
36081043900,3377,147,96,264,2870
36081044000,4503,81,2502,639,1034
36081044301,3658,114,236,465,2789
36081044302,4272,149,320,1652,1938
36081044400,4405,76,820,1705,1183
36081044601,3835,23,1270,1059,1195
36081044602,5466,272,972,2690,1365
36081044800,2976,252,177,1460,725
36081045000,2272,375,230,1441,80
36081045600,1369,65,5,929,183
36081045700,3849,423,13,2180,1183
36081045900,4357,89,2,2060,2132
36081046000,6043,116,722,2320,2193
36081046100,2429,60,7,902,1331
36081046400,2142,432,454,536,596
36081046500,4618,31,11,699,3835
36081046700,6202,286,31,1011,4787
36081046800,3801,55,715,2242,286
36081046901,4961,141,169,2105,1977
36081046902,4194,53,10,1175,2742
36081047000,3637,45,112,1776,1113
36081047200,3945,1135,1043,1203,341
36081047300,4383,400,37,3067,856
36081047801,3794,1145,660,1009,868
36081047802,1186,0,588,305,76
36081048000,2512,72,202,1237,467
36081048100,7140,272,110,3852,2734
36081048200,1414,127,501,342,133
36081048400,4806,88,1189,1781,1065
36081049201,3325,271,1966,196,677
36081049202,2532,59,587,692,699
36081049301,2467,843,0,805,742
36081049302,2992,981,41,857,1036
36081049500,1713,881,139,132,542
36081049600,3451,147,1138,909,916
36081049700,2883,1176,5,862,738
36081050000,4850,142,3087,741,707
36081050201,1645,0,1129,117,235
36081050202,1301,22,807,245,64
36081050400,1775,59,1406,68,61
36081050500,1895,815,72,736,237
36081050600,1538,0,1141,179,127
36081050800,2032,37,1853,85,57
36081051000,1945,38,1613,202,71
36081051200,2724,26,1833,230,391
36081051300,2843,1301,14,507,875
36081051600,2186,90,1639,0,369
